,Date,HHState,Zipcode,Sex,Age,HHsize,Kids,Auto_own,Married,Educ,HType,Worker,commute_before,commute_after,Transmode_before,Change_trans_mode,Transmode_after,Commute_min,PhyAc_Before,Exe_Before,PhyAc_After,Exe_After,Groc_Shp,Outside_Ac,Outside_Purp,ONL_SHP,ONL_SHP_AFTR
50,4/12/2020,MD,,Male,48,5.0,1.0,5.0,Divorced/Seperated,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,25.0,15-30 min,None,1-2 times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
51,5/26/2020,NY,10019,Female,33,2.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Bike/Bikeshare,NA,NA/Teleworked,20.0,60+ min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
52,5/19/2020,NJ,8901,Female,73,2.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Tele-Worked Every Day,Switched to work from home with increased workload,Walk,NA,NA/Teleworked,5.0,15-30 min,None,3-4 times/week,30+ min/3-5days/wk,3 times/Mth,None,,Yes,No
53,4/15/2020,DC,20003,Female,35,2.0,0.0,1.0,Married,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,NA,Other,130.0,15-30 min,1-2 times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,I answered None to the question above but am still required to provide an answer to this question - please check survey logic for this question and the last question. :-),No,No
54,5/12/2020,IL,61821,Female,41,2.0,0.0,2.0,-8,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,10.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
55,5/20/2020,NJ,8648,Male,68,2.0,0.0,1.0,Married,4,Single-Family House,Employed Full Time,Tele-Worked Every Day,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,30.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
56,5/14/2020,MA,2135,Female,24,2.0,0.0,0.0,Single,3,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Walk,NA,NA/Teleworked,40.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,,Yes,Maybe
57,5/12/2020,NY,10901,Female,48,3.0,1.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
58,4/10/2020,MD,20879,Female,31,3.0,2.0,2.0,Married,4,Single-Family House,Unemployed,-8,-8,Auto/driving,No,NA/Teleworked,30.0,60+ min,None,5+ times/week,30+ min/3-5days/wk,3 times/Mth,None,,No,Not Applicable
59,5/27/2020,OR,97086,Male,57,3.0,0.0,4.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,45.0,30-60 min,1-2 times/week,None,30+ min/3-5days/wk,3 times/Mth,None,,No,No
60,4/11/2020,MD,20903,Female,42,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,No,NA/Teleworked,20.0,30-60 min,5+ times/week,None,30+ min/3-5days/wk,3 times/Mth,None,,-8,No
61,4/24/2020,WA,98115,Female,43,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,40.0,15-30 min,1-2 times/week,None,30+ min/3-5days/wk,3 times/Mth,Once,Short drive to give the kids a new activity.,No,Not Applicable
62,4/22/2020,TX,75019,Female,47,4.0,1.0,4.0,Married,3,Single-Family House,Employed Full Time,Commute Everyday,Stayed at home and not able to work,Auto/driving,NA,NA/Teleworked,15.0,15-30 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,Twice,Delivering food to neighbor,No,Not Applicable
63,5/26/2020,MN,56001,Male,59,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,8.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,3 times/Mth,Twice,work related,No,Not Applicable
64,5/27/2020,ME,4105,Male,55,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,14.0,30-60 min,1-2 times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Get items at hardware store; visit aged parent,No,Not Applicable
65,6/5/2020,MD,20817,Male,60,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Did not change/still commute,Auto/driving,No,Auto/driving,30.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Visiting one family member,No,No
66,5/13/2020,PA,19147,Female,30,2.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,NA,NA/Teleworked,20.0,30-60 min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Social distance friend visits/ family,No,Not Applicable
67,7/2/2020,MD,21113,Female,53,1.0,0.0,1.0,Divorced/Seperated,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,No,NA/Teleworked,40.0,60+ min,3-4 times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Painting my parents house.,Yes,No
68,5/27/2020,SC,29205,Female,71,1.0,0.0,1.0,Single,4,Single-Family House,Employed Full Time,Commute Everyday,Did not change/still commute,Auto/driving,No,Auto/driving,60.0,30-60 min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,"shopping, medical appointment, lunch",No,Not Applicable
69,5/26/2020,ME,4469,Male,60,2.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to partial commute to work/tele-work,Auto/driving,No,NA/Teleworked,20.0,60+ min,5+ times/week,3-4 times/week,30+ min/3-5days/wk,4+ times/Mth,3+,helped move my son into an apartment,No,No
70,5/26/2020,ME,4101,Female,54,1.0,0.0,1.0,Divorced/Seperated,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Walk,NA,NA/Teleworked,5.0,30-60 min,1-2 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,To visit elderly parents and to drive to take breaks from isolation.,No,No
71,5/12/2020,FL ,33176,Female,46,1.0,0.0,1.0,Single,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,"Drugstore, Office Depot, Home Depot, Loews ",No,No
72,5/19/2020,WA,98105,Female,25,1.0,0.0,1.0,Single,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Public Transit,No,NA/Teleworked,15.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Social gathering ,No,No
73,5/12/2020,MA,2492,Female,52,4.0,2.0,3.0,Married,3,Single-Family House,Unemployed,-8,-8,-8,NA,NA/Teleworked,0.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,"Drop off ear savers at hospital, check on other home",Yes,No
74,6/29/2020,MD,20720,Male,34,2.0,0.0,2.0,Married,4,Condo/Townhouse,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,I bought a townhouse Condo. ,No,Not Applicable
75,5/15/2020,DC,20011,Male,28,3.0,0.0,1.0,Married,4,Condo/Townhouse,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,35.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Hiking in a remote area.  That is the only thing I've done outside my home other than grocery shop,No,Not Applicable
76,5/27/2020,FL ,32303,Female,54,4.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,7.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,"Picking up food, stopping at office, picking up things at school, dropping things off at school/other places, taking cat to vet",Yes,No
77,5/20/2020,MD,21201,Female,64,1.0,0.0,1.0,Divorced/Seperated,4,Apartment,Retired,-8,-8,Auto/driving,Yes,Walk,,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,,No,Not Applicable
78,5/12/2020,PA,17601,Female,26,2.0,0.0,2.0,Single,3,Apartment,Unemployed,Commute Everyday,Stayed at home and not able to work,Auto/driving,NA,NA/Teleworked,20.0,60+ min,None,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,3+,Help mother with laundry,Yes,Yes
79,5/28/2020,CA,90028,Female,34,2.0,0.0,0.0,Married,4,Multi-Family House,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Public Transit,NA,NA/Teleworked,45.0,30-60 min,3-4 times/week,None,30+ min/3-5days/wk,4+ times/Mth,3+,"We moved apartments so this required trips to a U-Haul location and car rental. We also bought plants at a nursery, and went to a socially distant bonfire in a friends front yard. ",Yes,No
80,5/29/2020,DC,20016,Female,69,3.0,0.0,1.0,Married,4,Single-Family House,Employed Part Time,Tele-Worked Every Day,Switched to work from home with increased workload,Public Transit,NA,NA/Teleworked,30.0,30-60 min,3-4 times/week,1-2 times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
81,4/14/2020,MD,20740,Female,38,6.0,2.0,2.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Public Transit,NA,Other,55.0,30-60 min,3-4 times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
82,6/30/2020,MD,21901,Female,43,4.0,2.0,3.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with increased workload,Auto/driving,NA,NA/Teleworked,10.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,Yes,Yes
83,5/26/2020,CO,80214,Male,29,2.0,0.0,3.0,Married,4,Single-Family House,Employed Full Time,Partial Commute/teleworked,Switched to work from home without change in the workload,Auto/driving,NA,NA/Teleworked,20.0,30-60 min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
84,5/17/2020,MD,20740,Male,50,2.0,0.0,2.0,Divorced/Seperated,4,Apartment,Employed Full Time,Commute Everyday,Switched to work from home without change in the workload,Bike/Bikeshare,No,Bike/Bikeshare,15.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
85,6/26/2020,MD,20901,Female,58,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,40.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
86,6/26/2020,MD,20901,Female,58,2.0,0.0,2.0,Married,4,Single-Family House,Employed Full Time,Commute Everyday,Switched to work from home with reduced workload,Auto/driving,NA,NA/Teleworked,40.0,60+ min,5+ times/week,5+ times/week,30+ min/3-5days/wk,4+ times/Mth,None,,No,Not Applicable
